log_id,vehicle_id,log_date,depot,odometer_km,litres_filled,cost_per_litre,total_cost_gbp,fuel_type
FL-0005400,VEH-0015,2025-01-25,Manchester,125678,141.8,1.84,260.9,Diesel
FL-0005401,VEH-0041,2025-02-24,Bristol,146675,137.6,1.458,200.68,Diesel
FL-0005402,VEH-0085,2025-03-26,Manchester,165385,137.7,1.77,243.73,Diesel
FL-0005403,VEH-0003,2025-03-15,Leeds,57559,101.3,1.591,161.2,HVO
FL-0005404,VEH-0082,2025-01-09,Bristol,232292,108.9,1.486,161.78,Diesel
FL-0005405,VEH-0008,2025-02-09,Glasgow,253878,102.6,1.573,161.44,Diesel
FL-0005406,VEH-0007,2025-03-04,Bristol,227387,122.0,1.491,181.91,Diesel
FL-0005407,VEH-0088,2025-02-28,Manchester,162803,69.3,1.731,120.03,Diesel
FL-0005408,VEH-0025,2025-02-18,Manchester,171020,80.5,1.524,122.66,Diesel
FL-0005409,VEH-0002,2025-02-20,London,129956,76.7,1.509,115.71,Diesel
FL-0005410,VEH-0084,2025-03-31,Bristol,168939,87.7,1.823,159.92,Diesel
FL-0005411,VEH-0022,2025-01-17,Bristol,82972,142.6,1.721,245.5,HVO
FL-0005412,VEH-0055,2025-03-10,London,269729,153.3,1.682,257.85,HVO
FL-0005413,VEH-0055,2025-03-18,London,218385,87.9,1.804,158.61,Diesel
FL-0005414,VEH-0016,2025-03-20,Birmingham,258254,187.1,1.682,314.76,Diesel
FL-0005415,VEH-0088,2025-01-30,Manchester,250247,98.4,1.758,173.03,Diesel
FL-0005416,VEH-0025,2025-01-15,Manchester,221440,137.2,1.62,222.19,HVO
FL-0005417,VEH-0020,2025-03-09,London,269375,44.2,1.742,77.04,Diesel
FL-0005418,VEH-0004,2025-01-16,Birmingham,53240,125.7,1.756,220.75,Diesel
FL-0005419,VEH-0065,2025-03-14,Leeds,230245,134.7,1.545,208.18,Diesel
FL-0005420,VEH-0071,2025-01-15,Bristol,109749,48.4,1.641,79.42,Diesel
FL-0005421,VEH-0080,2025-02-09,London,259923,51.4,1.474,75.75,Diesel
FL-0005422,VEH-0019,2025-03-29,Leeds,287065,154.9,1.456,225.48,Diesel
FL-0005423,VEH-0016,2025-01-08,Birmingham,220326,95.6,1.617,154.52,Diesel
FL-0005424,VEH-0071,2025-03-10,Bristol,299429,103.5,1.602,165.88,Diesel
FL-0005425,VEH-0065,2025-02-02,Leeds,244486,86.2,1.734,149.55,Diesel
FL-0005426,VEH-0023,2025-02-21,Manchester,146770,165.5,1.753,290.17,Diesel
FL-0005427,VEH-0022,2025-03-26,Bristol,100185,138.6,1.812,251.23,Diesel
FL-0005428,VEH-0067,2025-01-15,Manchester,119158,85.2,1.732,147.56,Diesel
FL-0005429,VEH-0004,2025-03-13,Birmingham,173485,63.4,1.645,104.24,Diesel
FL-0005430,VEH-0029,2025-01-04,London,160308,224.4,1.705,382.54,Diesel
FL-0005431,VEH-0093,2025-01-04,Bristol,288967,73.0,1.627,118.71,Diesel
FL-0005432,VEH-0091,2025-01-21,Manchester,65633,86.8,1.554,134.86,HVO
FL-0005433,VEH-0017,2025-02-03,London,243702,189.0,1.538,290.66,Diesel
FL-0005434,VEH-0086,2025-02-17,Leeds,287075,119.6,1.512,180.76,Diesel
FL-0005435,VEH-0051,2025-01-27,Glasgow,68570,120.7,1.835,221.56,Diesel
FL-0005436,VEH-0098,2025-02-16,Glasgow,186373,109.8,1.683,184.73,Electric
FL-0005437,VEH-0006,2025-02-17,Bristol,106016,69.9,1.684,117.73,Diesel
FL-0005438,VEH-0084,2025-02-24,Bristol,109635,123.4,1.59,196.28,Diesel
FL-0005439,VEH-0051,2025-02-05,Glasgow,145557,106.4,1.618,172.2,Diesel
FL-0005440,VEH-0029,2025-01-10,London,79581,122.7,1.61,197.54,Diesel
FL-0005441,VEH-0055,2025-03-24,London,77744,156.3,1.846,288.56,Diesel
FL-0005442,VEH-0067,2025-01-29,Manchester,187465,67.2,1.836,123.4,Diesel
FL-0005443,VEH-0035,2025-03-21,Glasgow,54754,127.8,1.631,208.52,Diesel
FL-0005444,VEH-0089,2025-02-09,London,260290,152.3,1.52,231.42,Diesel
FL-0005445,VEH-0095,2025-03-17,Manchester,122592,142.1,1.687,239.76,HVO
FL-0005446,VEH-0025,2025-01-28,Manchester,53055,94.0,1.845,173.34,Electric
FL-0005447,VEH-0021,2025-03-06,Birmingham,73574,165.5,1.554,257.17,Diesel
FL-0005448,VEH-0033,2025-03-13,London,251735,122.3,1.486,181.77,Diesel
FL-0005449,VEH-0091,2025-01-14,Manchester,197752,131.3,1.582,207.77,Diesel
FL-0005450,VEH-0047,2025-03-14,London,74079,152.1,1.502,228.4,Diesel
FL-0005451,VEH-0045,2025-01-23,Birmingham,216663,97.1,1.596,154.99,Diesel
FL-0005452,VEH-0063,2025-03-17,London,296995,102.2,1.71,174.75,Diesel
FL-0005453,VEH-0033,2025-01-27,London,264788,134.2,1.596,214.22,Diesel
FL-0005454,VEH-0063,2025-03-04,London,129334,107.5,1.579,169.76,Diesel
FL-0005455,VEH-0011,2025-03-14,Glasgow,287162,160.8,1.506,242.22,Diesel
FL-0005456,VEH-0086,2025-01-31,Leeds,278310,112.9,1.728,195.1,Diesel
FL-0005457,VEH-0072,2025-03-28,Leeds,218387,64.5,1.524,98.23,Diesel
FL-0005458,VEH-0068,2025-02-02,Bristol,101592,145.2,1.734,251.79,Diesel
FL-0005459,VEH-0026,2025-02-23,Manchester,194926,95.0,1.677,159.35,HVO
FL-0005460,VEH-0023,2025-03-12,Manchester,188690,96.8,1.622,157.05,Electric
FL-0005461,VEH-0071,2025-01-18,Bristol,133256,108.8,1.676,182.4,Electric
FL-0005462,VEH-0045,2025-03-10,Birmingham,185247,161.3,1.53,246.77,Diesel
FL-0005463,VEH-0048,2025-01-11,Glasgow,158757,132.7,1.592,211.29,Diesel
FL-0005464,VEH-0009,2025-01-07,Manchester,78309,167.1,1.811,302.57,Diesel
FL-0005465,VEH-0035,2025-03-30,Glasgow,204700,102.9,1.662,170.99,Diesel
FL-0005466,VEH-0022,2025-02-06,Bristol,272866,82.2,1.602,131.76,Diesel
FL-0005467,VEH-0018,2025-02-07,Leeds,193022,114.8,1.618,185.73,Diesel
FL-0005468,VEH-0018,2025-03-30,Leeds,237763,83.7,1.671,139.83,HVO
FL-0005469,VEH-0029,2025-03-24,London,243101,133.8,1.691,226.18,Diesel
FL-0005470,VEH-0088,2025-01-05,Manchester,291290,149.0,1.474,219.57,Diesel
FL-0005471,VEH-0048,2025-03-30,Glasgow,288464,117.3,1.509,177.03,Electric
FL-0005472,VEH-0064,2025-02-13,Glasgow,267197,92.9,1.577,146.47,Diesel
FL-0005473,VEH-0058,2025-03-08,Manchester,170563,140.1,1.83,256.35,Diesel
FL-0005474,VEH-0046,2025-01-04,Glasgow,228293,69.1,1.696,117.15,Electric
FL-0005475,VEH-0003,2025-03-11,Leeds,96469,158.6,1.689,267.94,Diesel
FL-0005476,VEH-0070,2025-01-28,London,163177,147.7,1.583,233.74,Diesel
FL-0005477,VEH-0055,2025-03-22,London,124838,38.2,1.627,62.12,Diesel
FL-0005478,VEH-0074,2025-02-22,Manchester,262748,99.5,1.51,150.3,Diesel
FL-0005479,VEH-0002,2025-01-03,London,212276,109.2,1.518,165.76,Diesel
FL-0005480,VEH-0047,2025-02-09,London,111629,113.7,1.688,191.93,Electric
FL-0005481,VEH-0021,2025-01-31,Birmingham,246541,100.0,1.519,151.95,Electric
FL-0005482,VEH-0033,2025-01-28,London,262406,96.7,1.746,168.84,Diesel
FL-0005483,VEH-0056,2025-03-14,Leeds,224536,104.4,1.72,179.56,Electric
FL-0005484,VEH-0027,2025-03-04,Leeds,79103,73.9,1.599,118.11,Diesel
FL-0005485,VEH-0083,2025-03-29,Birmingham,114211,118.6,1.743,206.68,Diesel
FL-0005486,VEH-0070,2025-02-17,London,106930,89.0,1.455,129.5,HVO
FL-0005487,VEH-0083,2025-02-05,Birmingham,200024,97.5,1.548,150.91,Diesel
FL-0005488,VEH-0078,2025-01-30,Glasgow,182475,106.5,1.596,169.92,Diesel
FL-0005489,VEH-0028,2025-01-04,Leeds,160092,96.2,1.83,176.09,Diesel
FL-0005490,VEH-0021,2025-01-11,Birmingham,121792,142.5,1.811,258.14,Diesel
FL-0005491,VEH-0075,2025-02-16,Glasgow,256765,146.0,1.617,236.12,Diesel
FL-0005492,VEH-0035,2025-01-16,Glasgow,101406,104.7,1.452,152.08,Diesel
FL-0005493,VEH-0067,2025-03-16,Manchester,143291,139.1,1.705,237.23,Diesel
FL-0005494,VEH-0028,2025-03-10,Leeds,104965,68.6,1.661,113.97,HVO
FL-0005495,VEH-0058,2025-02-24,Manchester,248803,67.0,1.607,107.74,Diesel
FL-0005496,VEH-0026,2025-02-24,Manchester,135874,87.6,1.848,161.88,Electric
FL-0005497,VEH-0015,2025-03-29,Manchester,169031,148.0,1.593,235.8,Electric
FL-0005498,VEH-0031,2025-01-18,Leeds,68833,140.6,1.827,256.94,Diesel
FL-0005499,VEH-0087,2025-03-21,Bristol,158878,143.8,1.569,225.57,Diesel
FL-0005500,VEH-0100,2025-03-01,Leeds,221899,94.2,1.474,138.84,Diesel
FL-0005501,VEH-0001,2025-01-09,Birmingham,54214,130.1,1.484,193.07,Diesel
FL-0005502,VEH-0033,2025-02-19,London,261432,156.5,1.746,273.25,Diesel
FL-0005503,VEH-0083,2025-03-23,Birmingham,258370,148.4,1.699,252.11,Electric
FL-0005504,VEH-0094,2025-03-02,London,183767,81.9,1.453,118.97,Electric
FL-0005505,VEH-0081,2025-03-03,Leeds,110803,138.8,1.702,236.31,Diesel
FL-0005506,VEH-0083,2025-03-18,Birmingham,249095,63.4,1.597,101.29,Diesel
FL-0005507,VEH-0050,2025-01-05,Birmingham,271421,85.2,1.592,135.58,Diesel
FL-0005508,VEH-0032,2025-02-07,Manchester,121583,108.4,1.532,166.09,Diesel
FL-0005509,VEH-0050,2025-01-26,Birmingham,101598,135.1,1.803,243.54,HVO
FL-0005510,VEH-0032,2025-03-14,Manchester,274213,60.1,1.841,110.66,Diesel
FL-0005511,VEH-0074,2025-01-13,Manchester,191172,50.8,1.679,85.26,Diesel
FL-0005512,VEH-0058,2025-03-03,Manchester,144059,116.0,1.737,201.43,Diesel
FL-0005513,VEH-0012,2025-03-04,Birmingham,172385,94.0,1.665,156.57,HVO
FL-0005514,VEH-0027,2025-02-28,Leeds,78655,158.5,1.532,242.81,Diesel
FL-0005515,VEH-0065,2025-02-01,Leeds,277120,124.2,1.683,209.08,Diesel
FL-0005516,VEH-0042,2025-01-18,London,210470,99.0,1.572,155.62,Diesel
FL-0005517,VEH-0028,2025-03-21,Leeds,52758,125.2,1.725,215.97,Diesel
FL-0005518,VEH-0002,2025-03-20,London,147363,149.9,1.798,269.54,Diesel
FL-0005519,VEH-0063,2025-03-05,London,95075,56.8,1.828,103.81,Diesel
FL-0005520,VEH-0097,2025-03-09,London,193378,125.0,1.731,216.45,Diesel
FL-0005521,VEH-0028,2025-01-19,Leeds,244016,118.3,1.567,185.43,Electric
FL-0005522,VEH-0050,2025-02-04,Birmingham,124345,79.9,1.73,138.27,Electric
FL-0005523,VEH-0072,2025-03-09,Leeds,272206,79.4,1.671,132.6,Diesel
FL-0005524,VEH-0090,2025-02-02,London,66137,154.9,1.625,251.68,Diesel
FL-0005525,VEH-0056,2025-02-03,Leeds,229897,158.6,1.84,291.91,Diesel
FL-0005526,VEH-0068,2025-02-03,Bristol,154511,131.1,1.458,191.19,HVO
FL-0005527,VEH-0092,2025-02-08,Leeds,142264,109.4,1.525,166.83,Diesel
FL-0005528,VEH-0063,2025-02-25,London,101706,114.8,1.5,172.21,Diesel
FL-0005529,VEH-0059,2025-02-02,London,138393,99.5,1.532,152.38,HVO
FL-0005530,VEH-0006,2025-01-06,Bristol,176982,63.3,1.626,102.93,Electric
FL-0005531,VEH-0083,2025-02-05,Birmingham,228330,123.6,1.848,228.44,Diesel
FL-0005532,VEH-0052,2025-01-27,London,295274,82.2,1.603,131.74,Diesel
FL-0005533,VEH-0046,2025-01-01,Glasgow,255047,80.6,1.558,125.53,Diesel
FL-0005534,VEH-0038,2025-02-03,Manchester,92449,130.7,1.719,224.73,Diesel
FL-0005535,VEH-0052,2025-01-08,London,272124,118.9,1.654,196.67,Diesel
FL-0005536,VEH-0032,2025-01-12,Manchester,188031,146.6,1.72,252.23,Diesel
FL-0005537,VEH-0068,2025-01-13,Bristol,187421,148.8,1.481,220.3,Diesel
FL-0005538,VEH-0099,2025-02-19,Glasgow,84811,33.9,1.547,52.44,Electric
FL-0005539,VEH-0085,2025-01-12,Manchester,296864,146.0,1.481,216.19,Diesel
FL-0005540,VEH-0008,2025-01-12,Glasgow,112893,120.0,1.541,184.93,Diesel
FL-0005541,VEH-0045,2025-02-13,Birmingham,82665,132.1,1.508,199.24,HVO
FL-0005542,VEH-0082,2025-02-20,Bristol,152493,145.8,1.844,268.77,Diesel
FL-0005543,VEH-0087,2025-03-15,Bristol,198498,110.8,1.456,161.34,Diesel
FL-0005544,VEH-0057,2025-01-18,Glasgow,94602,164.9,1.769,291.7,Diesel
FL-0005545,VEH-0098,2025-01-03,Glasgow,218113,85.8,1.847,158.5,Diesel
FL-0005546,VEH-0082,2025-03-14,Bristol,211417,90.6,1.715,155.46,Diesel
FL-0005547,VEH-0030,2025-02-24,London,131455,109.3,1.563,170.88,Diesel
FL-0005548,VEH-0041,2025-03-22,Bristol,269411,103.6,1.537,159.17,HVO
FL-0005549,VEH-0090,2025-02-15,London,189802,125.7,1.513,190.18,Diesel
FL-0005550,VEH-0012,2025-02-19,Birmingham,238558,122.2,1.631,199.29,Diesel
FL-0005551,VEH-0048,2025-01-13,Glasgow,107051,88.7,1.632,144.75,Diesel
FL-0005552,VEH-0009,2025-03-04,Manchester,92401,129.5,1.722,223.02,Diesel
FL-0005553,VEH-0023,2025-01-29,Manchester,82205,107.5,1.721,185.01,Diesel
FL-0005554,VEH-0030,2025-02-18,London,100377,62.1,1.545,95.97,Diesel
FL-0005555,VEH-0020,2025-02-11,London,159652,117.9,1.516,178.72,Diesel
FL-0005556,VEH-0066,2025-02-08,Bristol,286861,64.6,1.693,109.34,Diesel
FL-0005557,VEH-0074,2025-03-04,Manchester,151992,161.1,1.815,292.42,Diesel
FL-0005558,VEH-0036,2025-02-17,Birmingham,186366,101.3,1.582,160.33,Electric
FL-0005559,VEH-0026,2025-01-03,Manchester,101872,87.5,1.46,127.7,Diesel
FL-0005560,VEH-0076,2025-02-23,London,140809,68.1,1.58,107.65,HVO
FL-0005561,VEH-0002,2025-01-08,London,150523,70.8,1.823,129.07,Electric
FL-0005562,VEH-0018,2025-03-13,Leeds,234963,54.7,1.758,96.12,Diesel
FL-0005563,VEH-0055,2025-01-31,London,265133,77.7,1.466,113.85,Diesel
FL-0005564,VEH-0071,2025-02-09,Bristol,144794,136.2,1.562,212.8,Electric
FL-0005565,VEH-0039,2025-01-26,Glasgow,106037,164.3,1.496,245.77,Diesel
FL-0005566,VEH-0036,2025-01-06,Birmingham,142616,141.5,1.537,217.56,Electric
FL-0005567,VEH-0060,2025-02-09,Glasgow,241223,99.4,1.845,183.32,Diesel
FL-0005568,VEH-0097,2025-02-11,London,160699,88.4,1.639,144.86,Diesel
FL-0005569,VEH-0078,2025-03-30,Glasgow,196050,73.7,1.733,127.76,Diesel
FL-0005570,VEH-0004,2025-01-12,Birmingham,280613,92.4,1.793,165.61,Diesel
FL-0005571,VEH-0044,2025-03-18,Manchester,145136,68.3,1.618,110.46,Diesel
FL-0005572,VEH-0009,2025-02-21,Manchester,69269,98.6,1.596,157.43,Diesel
FL-0005573,VEH-0029,2025-03-09,London,254677,90.0,1.69,152.11,Diesel
FL-0005574,VEH-0003,2025-03-02,Leeds,198729,52.7,1.489,78.42,Diesel
FL-0005575,VEH-0022,2025-01-06,Bristol,188842,169.8,1.63,276.85,Diesel
FL-0005576,VEH-0017,2025-02-15,London,76852,146.8,1.762,258.74,Diesel
FL-0005577,VEH-0078,2025-01-10,Glasgow,133487,169.3,1.474,249.54,HVO
FL-0005578,VEH-0074,2025-02-12,Manchester,285494,93.2,1.57,146.37,Electric
FL-0005579,VEH-0005,2025-03-27,Leeds,104708,133.9,1.514,202.76,HVO
FL-0005580,VEH-0037,2025-01-30,Glasgow,146163,76.7,1.793,137.53,Diesel
FL-0005581,VEH-0005,2025-02-07,Leeds,283280,94.2,1.497,141.06,Diesel
FL-0005582,VEH-0033,2025-02-06,London,87664,167.8,1.76,295.3,Diesel
FL-0005583,VEH-0026,2025-03-15,Manchester,161315,196.8,1.806,355.4,Diesel
FL-0005584,VEH-0061,2025-02-02,Glasgow,253951,141.4,1.597,225.86,Diesel
FL-0005585,VEH-0021,2025-03-16,Birmingham,85253,64.9,1.658,107.54,Diesel
FL-0005586,VEH-0097,2025-02-11,London,279040,71.0,1.72,122.19,Diesel
FL-0005587,VEH-0092,2025-03-15,Leeds,296540,88.0,1.68,147.86,Diesel
FL-0005588,VEH-0017,2025-03-10,London,230441,77.8,1.545,120.16,HVO
FL-0005589,VEH-0092,2025-02-22,Leeds,86133,144.0,1.574,226.68,Diesel
FL-0005590,VEH-0004,2025-02-01,Birmingham,147928,102.2,1.589,162.43,Electric
FL-0005591,VEH-0046,2025-01-01,Glasgow,230157,153.5,1.731,265.76,Diesel
FL-0005592,VEH-0047,2025-01-03,London,153623,88.6,1.757,155.72,Diesel
FL-0005593,VEH-0100,2025-02-03,Leeds,124313,112.6,1.499,168.83,Diesel
FL-0005594,VEH-0042,2025-02-03,London,248790,159.3,1.489,237.24,Diesel
FL-0005595,VEH-0036,2025-01-21,Birmingham,57944,141.0,1.839,259.34,Diesel
FL-0005596,VEH-0049,2025-03-05,Manchester,158282,138.8,1.59,220.76,Diesel
FL-0005597,VEH-0020,2025-02-02,London,158528,127.8,1.484,189.72,Diesel
FL-0005598,VEH-0022,2025-02-10,Bristol,249018,103.3,1.507,155.64,Diesel
FL-0005599,VEH-0089,2025-03-17,London,248952,116.6,1.661,193.68,Diesel
FL-0005600,VEH-0022,2025-02-12,Bristol,291052,130.6,1.769,231.01,Diesel
FL-0005601,VEH-0037,2025-03-15,Glasgow,201416,116.0,1.469,170.4,Diesel
FL-0005602,VEH-0053,2025-03-30,Bristol,89496,119.3,1.729,206.27,HVO
FL-0005603,VEH-0085,2025-02-09,Manchester,128783,55.5,1.724,95.62,Diesel
FL-0005604,VEH-0037,2025-02-20,Glasgow,182140,48.5,1.673,81.13,Diesel
FL-0005605,VEH-0044,2025-03-31,Manchester,271001,116.9,1.593,186.29,Diesel
FL-0005606,VEH-0023,2025-01-05,Manchester,250428,147.0,1.723,253.35,Electric
FL-0005607,VEH-0026,2025-02-10,Manchester,133336,76.1,1.478,112.43,Diesel
FL-0005608,VEH-0082,2025-01-24,Bristol,212506,105.8,1.838,194.4,Diesel
FL-0005609,VEH-0094,2025-02-20,London,70203,108.2,1.601,173.3,Diesel
FL-0005610,VEH-0080,2025-02-12,London,263234,157.9,1.46,230.56,Electric
FL-0005611,VEH-0044,2025-02-26,Manchester,220847,66.2,1.732,114.66,Diesel
FL-0005612,VEH-0018,2025-01-25,Leeds,251760,93.8,1.793,168.11,Diesel
FL-0005613,VEH-0071,2025-03-25,Bristol,168359,124.0,1.455,180.45,Diesel
FL-0005614,VEH-0039,2025-01-12,Glasgow,213688,64.1,1.724,110.43,Diesel
FL-0005615,VEH-0064,2025-01-23,Glasgow,202205,111.0,1.791,198.79,Diesel
FL-0005616,VEH-0054,2025-03-16,London,189772,162.2,1.523,247.06,Diesel
FL-0005617,VEH-0005,2025-03-01,Leeds,188209,124.5,1.607,200.13,Diesel
FL-0005618,VEH-0039,2025-03-12,Glasgow,149274,73.6,1.736,127.73,Diesel
FL-0005619,VEH-0092,2025-03-07,Leeds,72154,141.9,1.561,221.44,Diesel
FL-0005620,VEH-0012,2025-02-15,Birmingham,214083,134.5,1.558,209.53,Diesel
FL-0005621,VEH-0031,2025-03-26,Leeds,61928,96.9,1.648,159.75,Electric
FL-0005622,VEH-0039,2025-03-25,Glasgow,253865,157.7,1.562,246.26,Diesel
FL-0005623,VEH-0004,2025-02-27,Birmingham,216814,81.1,1.64,132.93,Diesel
FL-0005624,VEH-0058,2025-03-04,Manchester,131218,101.2,1.673,169.3,Diesel
FL-0005625,VEH-0031,2025-01-27,Leeds,233507,129.9,1.679,218.04,Diesel
FL-0005626,VEH-0087,2025-02-15,Bristol,155177,132.8,1.652,219.36,Diesel
FL-0005627,VEH-0039,2025-02-06,Glasgow,122010,87.6,1.713,150.13,Diesel
FL-0005628,VEH-0018,2025-01-11,Leeds,223278,94.9,1.692,160.65,Diesel
FL-0005629,VEH-0076,2025-02-10,London,229178,70.0,1.488,104.23,Diesel
FL-0005630,VEH-0006,2025-03-06,Bristol,97291,78.0,1.792,139.8,Diesel
FL-0005631,VEH-0016,2025-01-24,Birmingham,214882,119.9,1.649,197.75,Diesel
FL-0005632,VEH-0026,2025-02-11,Manchester,202150,130.7,1.754,229.2,Diesel
FL-0005633,VEH-0001,2025-02-24,Birmingham,235636,79.9,1.478,118.11,Diesel
FL-0005634,VEH-0073,2025-01-14,London,186561,80.3,1.578,126.75,HVO
FL-0005635,VEH-0012,2025-03-28,Birmingham,62593,123.0,1.556,191.35,HVO
FL-0005636,VEH-0040,2025-02-08,Birmingham,235041,120.9,1.485,179.61,Diesel
FL-0005637,VEH-0056,2025-02-23,Leeds,195417,126.3,1.802,227.64,Diesel
FL-0005638,VEH-0095,2025-02-01,Manchester,75993,168.4,1.765,297.16,Diesel
FL-0005639,VEH-0001,2025-03-12,Birmingham,119389,81.1,1.485,120.45,Diesel
FL-0005640,VEH-0077,2025-02-09,London,267887,106.9,1.573,168.18,HVO
FL-0005641,VEH-0020,2025-01-21,London,116611,93.6,1.568,146.77,Diesel
FL-0005642,VEH-0006,2025-03-06,Bristol,65413,103.6,1.662,172.17,Diesel
FL-0005643,VEH-0089,2025-01-27,London,124325,156.2,1.654,258.29,Diesel
FL-0005644,VEH-0091,2025-02-23,Manchester,265670,155.8,1.455,226.72,Diesel
FL-0005645,VEH-0078,2025-03-11,Glasgow,267328,109.0,1.451,158.21,Electric
FL-0005646,VEH-0076,2025-01-16,London,214212,120.2,1.657,199.22,HVO
FL-0005647,VEH-0085,2025-03-28,Manchester,156715,140.2,1.516,212.6,HVO
FL-0005648,VEH-0019,2025-01-09,Leeds,250187,133.0,1.56,207.55,Diesel
FL-0005649,VEH-0048,2025-03-08,Glasgow,295746,220.2,1.551,341.46,Electric
FL-0005650,VEH-0081,2025-01-02,Leeds,123673,155.4,1.675,260.32,Electric
FL-0005651,VEH-0044,2025-03-09,Manchester,106022,104.9,1.846,193.64,Diesel
FL-0005652,VEH-0027,2025-02-15,Leeds,223272,101.2,1.79,181.18,Diesel
FL-0005653,VEH-0090,2025-01-27,London,283056,147.4,1.478,217.85,Diesel
FL-0005654,VEH-0029,2025-01-19,London,227313,79.8,1.815,144.88,Diesel
FL-0005655,VEH-0071,2025-02-06,Bristol,288063,121.9,1.717,209.32,HVO
FL-0005656,VEH-0091,2025-02-11,Manchester,64528,124.1,1.452,180.24,Diesel
FL-0005657,VEH-0077,2025-03-03,London,141836,81.9,1.778,145.61,Electric
FL-0005658,VEH-0046,2025-02-08,Glasgow,217857,135.2,1.543,208.68,Diesel
FL-0005659,VEH-0078,2025-01-03,Glasgow,133705,102.0,1.619,165.18,Diesel
FL-0005660,VEH-0058,2025-02-02,Manchester,91652,44.6,1.479,66.03,Diesel
FL-0005661,VEH-0086,2025-03-29,Leeds,270641,81.0,1.632,132.21,HVO
FL-0005662,VEH-0056,2025-03-09,Leeds,158170,138.4,1.822,252.19,Diesel
FL-0005663,VEH-0001,2025-02-05,Birmingham,195033,106.1,1.847,195.88,Diesel
FL-0005664,VEH-0021,2025-02-25,Birmingham,150581,78.9,1.457,115.0,Diesel
FL-0005665,VEH-0051,2025-03-27,Glasgow,190033,124.4,1.588,197.51,Electric
FL-0005666,VEH-0060,2025-03-19,Glasgow,195075,97.7,1.507,147.2,Diesel
FL-0005667,VEH-0020,2025-03-01,London,209803,118.6,1.572,186.39,Diesel
FL-0005668,VEH-0082,2025-02-20,Bristol,265826,75.5,1.485,112.09,Diesel
FL-0005669,VEH-0074,2025-02-08,Manchester,168782,88.9,1.606,142.76,Diesel
FL-0005670,VEH-0044,2025-03-02,Manchester,112877,100.0,1.751,175.02,Electric
FL-0005671,VEH-0016,2025-01-01,Birmingham,89364,116.3,1.795,208.7,Diesel
FL-0005672,VEH-0060,2025-01-31,Glasgow,161701,117.3,1.811,212.39,Diesel
FL-0005673,VEH-0036,2025-01-12,Birmingham,234232,98.3,1.776,174.66,Electric
FL-0005674,VEH-0089,2025-03-10,London,224451,69.7,1.677,116.91,Diesel
FL-0005675,VEH-0027,2025-03-16,Leeds,121608,106.7,1.827,195.01,HVO
FL-0005676,VEH-0056,2025-02-22,Leeds,190582,77.8,1.705,132.63,Diesel
FL-0005677,VEH-0084,2025-02-06,Bristol,107979,42.9,1.823,78.28,Diesel
FL-0005678,VEH-0051,2025-01-28,Glasgow,104908,119.9,1.469,176.08,Diesel
FL-0005679,VEH-0084,2025-01-07,Bristol,208572,92.4,1.818,168.04,Diesel
FL-0005680,VEH-0031,2025-01-24,Leeds,190764,178.2,1.511,269.21,Diesel
FL-0005681,VEH-0042,2025-02-02,London,235166,137.9,1.745,240.66,Diesel
FL-0005682,VEH-0046,2025-03-02,Glasgow,102016,135.5,1.617,219.13,Diesel
FL-0005683,VEH-0043,2025-01-18,London,56158,96.3,1.48,142.52,Diesel
FL-0005684,VEH-0074,2025-01-06,Manchester,266051,62.6,1.596,99.88,Electric
FL-0005685,VEH-0010,2025-03-15,London,272151,126.8,1.803,228.6,Diesel
FL-0005686,VEH-0089,2025-02-11,London,160596,162.4,1.763,286.35,Electric
FL-0005687,VEH-0079,2025-03-05,Leeds,90432,142.0,1.653,234.69,Diesel
FL-0005688,VEH-0032,2025-03-01,Manchester,204726,91.0,1.688,153.59,Diesel
FL-0005689,VEH-0053,2025-02-05,Bristol,194182,117.3,1.798,210.97,Diesel
FL-0005690,VEH-0043,2025-01-02,London,217825,167.1,1.768,295.41,Diesel
FL-0005691,VEH-0060,2025-03-12,Glasgow,220931,98.0,1.832,179.57,Diesel
FL-0005692,VEH-0002,2025-03-14,London,80797,146.8,1.724,253.06,Diesel
FL-0005693,VEH-0081,2025-01-17,Leeds,121208,122.2,1.634,199.61,Diesel
FL-0005694,VEH-0001,2025-02-15,Birmingham,130788,152.3,1.812,276.04,HVO
FL-0005695,VEH-0051,2025-01-05,Glasgow,142507,98.8,1.794,177.23,Diesel
FL-0005696,VEH-0085,2025-02-18,Manchester,230521,130.4,1.641,214.0,Diesel
FL-0005697,VEH-0073,2025-02-07,London,161836,114.7,1.646,188.88,Diesel
FL-0005698,VEH-0034,2025-02-02,Glasgow,197659,97.6,1.622,158.36,Diesel
FL-0005699,VEH-0065,2025-02-12,Leeds,139642,108.9,1.844,200.81,Diesel
FL-0005700,VEH-0037,2025-03-01,Glasgow,142720,109.2,1.632,178.21,Diesel
FL-0005701,VEH-0019,2025-01-25,Leeds,230273,109.0,1.547,168.65,Diesel
FL-0005702,VEH-0002,2025-01-25,London,54405,106.8,1.757,187.61,Diesel
FL-0005703,VEH-0026,2025-01-10,Manchester,223112,94.0,1.778,167.21,Diesel
FL-0005704,VEH-0081,2025-01-31,Leeds,151013,178.5,1.633,291.43,Diesel
FL-0005705,VEH-0069,2025-02-17,Manchester,132476,115.6,1.832,211.82,Electric
FL-0005706,VEH-0061,2025-03-12,Glasgow,249286,112.4,1.763,198.16,HVO
