subscriber_id,plan_type,region,age_group,payment_method,monthly_fee,signup_date,churn_date,is_churned
SUB-001634,Premium,Europe,18-24,Apple Pay,19.99,2023-05-10,,0
SUB-001635,Standard,Middle East,25-34,Apple Pay,13.99,2023-12-22,,0
SUB-001636,Basic,Europe,55+,Credit Card,7.99,2022-12-20,,0
SUB-001637,Premium,Latin America,18-24,Debit Card,19.99,2024-05-16,,0
SUB-001638,Standard,Latin America,18-24,Apple Pay,13.99,2022-07-11,,0
SUB-001639,Standard,Europe,35-44,Credit Card,13.99,2022-01-20,2022-08-21,1
SUB-001640,Basic,Asia Pacific,45-54,Apple Pay,7.99,2023-09-05,2024-08-16,1
SUB-001641,Premium,North America,55+,Google Pay,19.99,2022-11-28,,0
SUB-001642,Premium,Europe,35-44,PayPal,19.99,2022-10-02,2023-07-17,1
SUB-001643,Standard,Latin America,25-34,PayPal,13.99,2023-09-20,,0
SUB-001644,Standard,Latin America,55+,Debit Card,13.99,2023-07-12,2025-03-11,1
SUB-001645,Standard,Europe,18-24,Debit Card,13.99,2024-12-27,,0
SUB-001646,Standard,Latin America,18-24,PayPal,13.99,2023-06-17,2023-11-26,1
SUB-001647,Standard,Middle East,55+,Credit Card,13.99,2023-06-12,,0
SUB-001648,Premium,Latin America,18-24,Apple Pay,19.99,2024-11-03,,0
SUB-001649,Premium,Europe,18-24,Debit Card,19.99,2024-07-24,2024-11-11,1
SUB-001650,Premium,Latin America,18-24,Google Pay,19.99,2024-02-01,,0
SUB-001651,Standard,Latin America,55+,PayPal,13.99,2024-07-04,,0
SUB-001652,Standard,Middle East,45-54,Apple Pay,13.99,2024-01-24,2025-02-07,1
SUB-001653,Basic,Asia Pacific,55+,Apple Pay,7.99,2023-08-10,,0
SUB-001654,Basic,Europe,25-34,Google Pay,7.99,2023-10-20,2025-01-29,1
SUB-001655,Basic,North America,55+,Debit Card,7.99,2024-02-27,,0
SUB-001656,Standard,Europe,35-44,Credit Card,13.99,2024-10-12,,0
SUB-001657,Standard,North America,18-24,Google Pay,13.99,2022-02-04,,0
SUB-001658,Basic,Europe,55+,Debit Card,7.99,2022-03-20,,0
SUB-001659,Standard,Asia Pacific,55+,Apple Pay,13.99,2023-02-03,,0
SUB-001660,Standard,Latin America,25-34,Debit Card,13.99,2023-06-16,,0
SUB-001661,Premium,Middle East,55+,Google Pay,19.99,2024-10-17,,0
SUB-001662,Basic,Asia Pacific,45-54,Google Pay,7.99,2023-03-03,,0
SUB-001663,Standard,Middle East,35-44,Apple Pay,13.99,2022-09-09,,0
SUB-001664,Standard,Europe,18-24,Credit Card,13.99,2024-08-01,,0
SUB-001665,Premium,North America,18-24,PayPal,19.99,2024-06-26,,0
SUB-001666,Basic,North America,35-44,PayPal,7.99,2023-07-17,,0
SUB-001667,Standard,Asia Pacific,18-24,Debit Card,13.99,2024-03-11,,0
SUB-001668,Premium,Asia Pacific,25-34,Debit Card,19.99,2022-05-11,,0
SUB-001669,Standard,Asia Pacific,55+,Apple Pay,13.99,2023-10-31,,0
SUB-001670,Basic,North America,18-24,Credit Card,7.99,2022-03-06,,0
SUB-001671,Standard,Asia Pacific,35-44,Debit Card,13.99,2023-04-04,,0
SUB-001672,Premium,Asia Pacific,18-24,Credit Card,19.99,2023-04-15,,0
SUB-001673,Standard,North America,35-44,Apple Pay,13.99,2022-12-10,,0
SUB-001674,Standard,North America,25-34,Apple Pay,13.99,2023-02-07,,0
SUB-001675,Premium,Middle East,45-54,Google Pay,19.99,2024-10-02,2025-02-05,1
SUB-001676,Standard,Latin America,25-34,PayPal,13.99,2022-09-20,,0
SUB-001677,Basic,Middle East,55+,Google Pay,7.99,2023-08-24,,0
SUB-001678,Basic,North America,55+,PayPal,7.99,2023-03-14,2025-02-02,1
SUB-001679,Premium,Europe,35-44,PayPal,19.99,2022-03-29,,0
SUB-001680,Standard,Middle East,18-24,Credit Card,13.99,2022-03-20,,0
SUB-001681,Premium,North America,25-34,Apple Pay,19.99,2023-11-16,2024-11-02,1
SUB-001682,Standard,Europe,35-44,Google Pay,13.99,2024-01-18,,0
SUB-001683,Basic,Asia Pacific,35-44,Credit Card,7.99,2024-03-25,2024-12-09,1
SUB-001684,Premium,Middle East,18-24,PayPal,19.99,2023-04-17,,0
SUB-001685,Premium,Latin America,55+,PayPal,19.99,2023-06-24,,0
SUB-001686,Basic,Latin America,45-54,PayPal,7.99,2023-02-02,,0
SUB-001687,Premium,North America,18-24,PayPal,19.99,2022-12-30,,0
SUB-001688,Standard,North America,18-24,PayPal,13.99,2024-11-10,,0
SUB-001689,Premium,North America,55+,Apple Pay,19.99,2023-10-07,,0
SUB-001690,Basic,Latin America,35-44,Debit Card,7.99,2023-11-26,2024-11-21,1
SUB-001691,Standard,Europe,55+,Debit Card,13.99,2023-09-01,,0
SUB-001692,Premium,Middle East,35-44,Apple Pay,19.99,2023-09-23,,0
SUB-001693,Standard,Asia Pacific,25-34,Debit Card,13.99,2023-08-30,,0
SUB-001694,Standard,Asia Pacific,45-54,Debit Card,13.99,2024-08-24,,0
SUB-001695,Basic,Asia Pacific,18-24,Apple Pay,7.99,2024-07-07,,0
SUB-001696,Premium,Europe,25-34,Google Pay,19.99,2023-02-04,,0
SUB-001697,Basic,Latin America,45-54,PayPal,7.99,2024-07-09,,0
SUB-001698,Basic,Latin America,25-34,Debit Card,7.99,2022-12-18,,0
SUB-001699,Basic,Latin America,55+,Apple Pay,7.99,2022-05-29,,0
SUB-001700,Basic,Middle East,55+,Credit Card,7.99,2024-01-16,,0
SUB-001701,Premium,Europe,55+,Google Pay,19.99,2023-10-04,,0
SUB-001702,Basic,North America,55+,Google Pay,7.99,2024-06-04,2024-09-28,1
SUB-001703,Standard,North America,45-54,Debit Card,13.99,2024-11-02,,0
SUB-001704,Standard,Europe,55+,PayPal,13.99,2022-08-29,,0
SUB-001705,Basic,North America,25-34,Apple Pay,7.99,2024-04-16,,0
SUB-001706,Standard,Asia Pacific,18-24,Apple Pay,13.99,2024-07-09,,0
SUB-001707,Premium,Asia Pacific,35-44,Debit Card,19.99,2024-04-26,2025-09-24,1
SUB-001708,Basic,Asia Pacific,45-54,Credit Card,7.99,2024-02-14,,0
SUB-001709,Premium,North America,45-54,Google Pay,19.99,2024-07-06,2025-08-08,1
SUB-001710,Basic,Europe,35-44,Apple Pay,7.99,2024-01-08,,0
SUB-001711,Basic,North America,55+,Debit Card,7.99,2023-02-01,2024-09-01,1
SUB-001712,Standard,Latin America,55+,Credit Card,13.99,2022-10-03,,0
SUB-001713,Basic,North America,55+,Debit Card,7.99,2022-03-14,,0
SUB-001714,Standard,Middle East,45-54,Debit Card,13.99,2022-07-10,,0
SUB-001715,Standard,North America,35-44,Credit Card,13.99,2022-01-08,,0
SUB-001716,Basic,North America,35-44,Apple Pay,7.99,2022-02-17,,0
SUB-001717,Basic,Europe,18-24,PayPal,7.99,2023-11-09,,0
SUB-001718,Basic,Latin America,18-24,PayPal,7.99,2023-01-11,,0
SUB-001719,Standard,North America,25-34,Apple Pay,13.99,2022-03-31,,0
SUB-001720,Premium,North America,45-54,PayPal,19.99,2024-10-11,,0
SUB-001721,Basic,North America,35-44,Credit Card,7.99,2024-01-11,,0
SUB-001722,Standard,Europe,45-54,Apple Pay,13.99,2023-01-01,,0
SUB-001723,Basic,Europe,35-44,Apple Pay,7.99,2024-01-04,,0
SUB-001724,Premium,Latin America,18-24,Apple Pay,19.99,2022-11-02,,0
SUB-001725,Basic,Asia Pacific,55+,Google Pay,7.99,2023-02-01,,0
SUB-001726,Premium,Europe,55+,Google Pay,19.99,2023-07-22,,0
SUB-001727,Basic,Asia Pacific,35-44,Debit Card,7.99,2023-12-16,,0
SUB-001728,Premium,Latin America,45-54,Debit Card,19.99,2022-02-04,,0
SUB-001729,Premium,North America,55+,Google Pay,19.99,2022-12-24,,0
SUB-001730,Standard,Europe,25-34,Credit Card,13.99,2023-04-06,,0
SUB-001731,Premium,Asia Pacific,45-54,Credit Card,19.99,2024-11-19,,0
SUB-001732,Premium,Middle East,35-44,PayPal,19.99,2022-07-13,,0
SUB-001733,Standard,Middle East,18-24,Google Pay,13.99,2024-03-10,,0
SUB-001734,Standard,Europe,35-44,Debit Card,13.99,2022-01-10,2023-08-21,1
SUB-001735,Premium,Asia Pacific,55+,Apple Pay,19.99,2024-01-29,,0
SUB-001736,Premium,Latin America,18-24,Google Pay,19.99,2022-09-02,,0
SUB-001737,Basic,Asia Pacific,45-54,Credit Card,7.99,2023-08-24,,0
SUB-001738,Standard,North America,45-54,Debit Card,13.99,2024-03-29,,0
SUB-001739,Basic,Latin America,35-44,Apple Pay,7.99,2024-03-12,,0
SUB-001740,Basic,Latin America,45-54,Debit Card,7.99,2024-03-21,,0
SUB-001741,Standard,Middle East,35-44,Credit Card,13.99,2022-05-22,,0
SUB-001742,Standard,Asia Pacific,25-34,Google Pay,13.99,2024-09-01,,0
SUB-001743,Standard,North America,25-34,Google Pay,13.99,2023-04-06,,0
SUB-001744,Basic,Middle East,55+,PayPal,7.99,2024-12-03,,0
SUB-001745,Standard,Asia Pacific,55+,Google Pay,13.99,2023-05-13,,0
SUB-001746,Standard,Latin America,35-44,Google Pay,13.99,2024-03-09,,0
SUB-001747,Basic,Europe,25-34,Debit Card,7.99,2023-04-29,,0
SUB-001748,Standard,Latin America,55+,Credit Card,13.99,2022-05-18,,0
SUB-001749,Standard,Middle East,25-34,Google Pay,13.99,2023-02-07,,0
SUB-001750,Standard,Europe,18-24,Credit Card,13.99,2023-11-14,2025-01-03,1
SUB-001751,Premium,Europe,18-24,Google Pay,19.99,2024-01-04,,0
SUB-001752,Premium,North America,25-34,Apple Pay,19.99,2024-05-28,2024-09-09,1
SUB-001753,Standard,North America,35-44,PayPal,13.99,2024-06-05,,0
SUB-001754,Premium,Latin America,25-34,Google Pay,19.99,2024-11-05,2026-10-12,1
SUB-001755,Standard,Europe,35-44,Google Pay,13.99,2023-09-02,,0
SUB-001756,Standard,Europe,35-44,Credit Card,13.99,2023-08-25,,0
SUB-001757,Basic,North America,45-54,Apple Pay,7.99,2023-05-06,,0
SUB-001758,Standard,Latin America,55+,Credit Card,13.99,2024-08-14,,0
SUB-001759,Premium,Asia Pacific,45-54,Credit Card,19.99,2024-10-12,,0
SUB-001760,Premium,North America,35-44,Apple Pay,19.99,2023-05-09,,0
SUB-001761,Premium,Asia Pacific,55+,Debit Card,19.99,2022-11-11,2023-07-02,1
SUB-001762,Standard,Middle East,35-44,Credit Card,13.99,2024-10-31,,0
SUB-001763,Standard,Middle East,55+,Apple Pay,13.99,2023-10-31,,0
SUB-001764,Premium,Latin America,18-24,Google Pay,19.99,2024-01-21,,0
SUB-001765,Standard,Europe,45-54,PayPal,13.99,2023-01-19,,0
SUB-001766,Standard,North America,55+,Debit Card,13.99,2022-01-15,2022-08-13,1
SUB-001767,Premium,North America,55+,Google Pay,19.99,2022-06-14,,0
SUB-001768,Standard,Latin America,55+,Credit Card,13.99,2023-12-16,,0
SUB-001769,Basic,Europe,35-44,Credit Card,7.99,2024-10-13,,0
SUB-001770,Basic,Latin America,55+,Google Pay,7.99,2022-02-14,,0
SUB-001771,Standard,Europe,55+,Credit Card,13.99,2023-05-03,,0
SUB-001772,Basic,Europe,35-44,PayPal,7.99,2024-06-23,,0
SUB-001773,Standard,North America,18-24,Apple Pay,13.99,2022-01-16,,0
SUB-001774,Standard,Europe,55+,Credit Card,13.99,2022-12-12,,0
SUB-001775,Basic,Latin America,25-34,Apple Pay,7.99,2022-11-23,,0
SUB-001776,Standard,Asia Pacific,25-34,PayPal,13.99,2022-09-28,,0
SUB-001777,Standard,Middle East,35-44,PayPal,13.99,2022-05-24,,0
SUB-001778,Standard,Asia Pacific,45-54,Credit Card,13.99,2023-11-05,,0
SUB-001779,Basic,Middle East,18-24,Apple Pay,7.99,2024-01-26,,0
SUB-001780,Standard,Asia Pacific,18-24,Debit Card,13.99,2023-09-25,,0
SUB-001781,Premium,Latin America,25-34,Apple Pay,19.99,2024-10-26,,0
SUB-001782,Premium,Middle East,25-34,PayPal,19.99,2022-06-06,,0
SUB-001783,Standard,Europe,35-44,Credit Card,13.99,2024-10-17,,0
SUB-001784,Basic,North America,25-34,PayPal,7.99,2024-11-18,,0
SUB-001785,Basic,North America,45-54,PayPal,7.99,2024-11-01,,0
SUB-001786,Basic,North America,35-44,Apple Pay,7.99,2022-04-03,,0
SUB-001787,Basic,Asia Pacific,55+,Debit Card,7.99,2023-08-08,,0
SUB-001788,Basic,Asia Pacific,25-34,Debit Card,7.99,2023-01-12,,0
SUB-001789,Basic,Europe,55+,PayPal,7.99,2024-04-19,,0
SUB-001790,Standard,Middle East,18-24,Credit Card,13.99,2022-03-17,,0
SUB-001791,Standard,North America,55+,Google Pay,13.99,2022-03-01,,0
SUB-001792,Premium,Asia Pacific,45-54,PayPal,19.99,2023-08-09,,0
SUB-001793,Standard,Middle East,35-44,Google Pay,13.99,2024-06-03,,0
SUB-001794,Standard,Latin America,55+,Apple Pay,13.99,2023-04-03,,0
SUB-001795,Standard,Asia Pacific,55+,PayPal,13.99,2022-06-13,,0
SUB-001796,Basic,North America,55+,Apple Pay,7.99,2022-08-21,,0
SUB-001797,Standard,Europe,25-34,PayPal,13.99,2024-11-01,,0
SUB-001798,Standard,North America,35-44,PayPal,13.99,2023-08-27,,0
SUB-001799,Standard,Middle East,25-34,Credit Card,13.99,2024-12-27,,0
SUB-001800,Standard,Asia Pacific,18-24,PayPal,13.99,2022-03-11,,0
SUB-001801,Premium,Europe,25-34,PayPal,19.99,2022-05-22,,0
SUB-001802,Premium,North America,35-44,Debit Card,19.99,2024-12-19,,0
SUB-001803,Basic,Europe,25-34,Google Pay,7.99,2023-01-17,,0
SUB-001804,Standard,Middle East,25-34,PayPal,13.99,2022-08-16,,0
SUB-001805,Standard,Latin America,18-24,Google Pay,13.99,2024-11-24,,0
SUB-001806,Standard,Europe,25-34,Debit Card,13.99,2023-11-30,2024-08-09,1
SUB-001807,Standard,Latin America,18-24,Credit Card,13.99,2022-11-23,2023-05-13,1
SUB-001808,Premium,Asia Pacific,45-54,Credit Card,19.99,2023-07-25,,0
SUB-001809,Standard,Middle East,45-54,Credit Card,13.99,2022-02-26,,0
SUB-001810,Premium,Middle East,55+,Google Pay,19.99,2023-09-11,,0
SUB-001811,Basic,Europe,55+,Apple Pay,7.99,2024-05-13,,0
SUB-001812,Basic,Asia Pacific,55+,Apple Pay,7.99,2023-03-23,,0
SUB-001813,Standard,North America,35-44,Google Pay,13.99,2022-01-09,2023-03-08,1
SUB-001814,Standard,Latin America,25-34,Google Pay,13.99,2024-11-05,,0
SUB-001815,Basic,Asia Pacific,55+,Debit Card,7.99,2022-03-01,,0
SUB-001816,Basic,Asia Pacific,45-54,Apple Pay,7.99,2022-11-24,,0
SUB-001817,Basic,Middle East,35-44,PayPal,7.99,2023-05-10,,0
SUB-001818,Standard,North America,18-24,Apple Pay,13.99,2023-02-14,,0
SUB-001819,Standard,Middle East,45-54,PayPal,13.99,2023-08-14,,0
SUB-001820,Standard,Europe,45-54,Google Pay,13.99,2024-09-02,2025-11-20,1
SUB-001821,Basic,North America,55+,Debit Card,7.99,2023-01-15,,0
SUB-001822,Basic,Europe,45-54,Debit Card,7.99,2024-10-07,,0
SUB-001823,Standard,Middle East,18-24,PayPal,13.99,2024-11-22,,0
SUB-001824,Standard,Europe,18-24,Debit Card,13.99,2024-02-25,,0
SUB-001825,Basic,North America,55+,Credit Card,7.99,2023-11-02,,0
SUB-001826,Premium,Middle East,25-34,PayPal,19.99,2023-06-21,2024-06-03,1
SUB-001827,Basic,Middle East,45-54,Credit Card,7.99,2022-11-05,,0
SUB-001828,Standard,Europe,55+,Debit Card,13.99,2022-04-22,,0
SUB-001829,Basic,Middle East,35-44,PayPal,7.99,2022-10-07,,0
SUB-001830,Basic,Middle East,55+,PayPal,7.99,2024-10-28,,0
SUB-001831,Premium,Asia Pacific,25-34,Credit Card,19.99,2022-03-27,2022-06-15,1
SUB-001832,Basic,Europe,25-34,Apple Pay,7.99,2024-08-06,,0
SUB-001833,Basic,Latin America,25-34,Debit Card,7.99,2023-08-22,,0
SUB-001834,Premium,North America,25-34,Google Pay,19.99,2022-02-11,,0
SUB-001835,Standard,North America,18-24,Apple Pay,13.99,2022-05-06,,0
SUB-001836,Standard,Europe,35-44,Apple Pay,13.99,2024-11-06,,0
SUB-001837,Premium,North America,55+,Debit Card,19.99,2024-04-02,,0
SUB-001838,Premium,Middle East,55+,Google Pay,19.99,2023-09-21,2023-12-26,1
SUB-001839,Standard,Asia Pacific,18-24,Google Pay,13.99,2022-03-07,,0
SUB-001840,Premium,North America,18-24,Google Pay,19.99,2024-07-15,,0
SUB-001841,Standard,Europe,45-54,Apple Pay,13.99,2024-06-20,,0
SUB-001842,Premium,Asia Pacific,55+,PayPal,19.99,2022-11-22,,0
SUB-001843,Standard,North America,55+,Credit Card,13.99,2024-08-04,,0
SUB-001844,Basic,Europe,55+,Credit Card,7.99,2022-10-22,,0
SUB-001845,Basic,Asia Pacific,45-54,Google Pay,7.99,2022-11-06,,0
SUB-001846,Premium,Asia Pacific,18-24,PayPal,19.99,2022-09-07,,0
SUB-001847,Standard,Middle East,35-44,Google Pay,13.99,2022-08-17,,0
SUB-001848,Basic,Middle East,55+,Debit Card,7.99,2024-10-09,,0
SUB-001849,Standard,Europe,55+,Credit Card,13.99,2023-08-23,,0
SUB-001850,Premium,Europe,25-34,Debit Card,19.99,2023-08-26,,0
SUB-001851,Basic,Asia Pacific,25-34,Apple Pay,7.99,2023-06-24,,0
SUB-001852,Basic,Europe,55+,PayPal,7.99,2022-09-27,,0
SUB-001853,Premium,Latin America,55+,Credit Card,19.99,2023-05-02,,0
SUB-001854,Premium,Latin America,45-54,Google Pay,19.99,2022-05-12,,0
SUB-001855,Basic,North America,35-44,Google Pay,7.99,2022-09-26,,0
SUB-001856,Premium,Latin America,18-24,Apple Pay,19.99,2024-03-14,,0
SUB-001857,Standard,Asia Pacific,55+,Apple Pay,13.99,2023-02-10,,0
SUB-001858,Standard,Latin America,35-44,PayPal,13.99,2024-07-13,,0
SUB-001859,Basic,Middle East,35-44,Apple Pay,7.99,2023-11-02,,0
SUB-001860,Premium,North America,25-34,Debit Card,19.99,2022-10-15,,0
SUB-001861,Standard,Latin America,35-44,PayPal,13.99,2022-05-28,,0
SUB-001862,Standard,North America,18-24,Google Pay,13.99,2023-05-24,,0
SUB-001863,Basic,North America,25-34,Credit Card,7.99,2023-04-18,,0
SUB-001864,Basic,Middle East,55+,Debit Card,7.99,2024-06-22,,0
SUB-001865,Standard,Middle East,18-24,Apple Pay,13.99,2023-02-04,,0
SUB-001866,Standard,Latin America,45-54,Google Pay,13.99,2023-01-01,,0
SUB-001867,Basic,Europe,18-24,PayPal,7.99,2022-08-08,,0
SUB-001868,Basic,Europe,35-44,PayPal,7.99,2024-01-02,,0
SUB-001869,Standard,North America,45-54,Apple Pay,13.99,2023-01-23,,0
SUB-001870,Premium,Latin America,35-44,PayPal,19.99,2023-09-18,,0
SUB-001871,Basic,Middle East,18-24,PayPal,7.99,2023-06-03,,0
SUB-001872,Standard,Middle East,45-54,Credit Card,13.99,2022-12-26,,0
SUB-001873,Standard,Europe,18-24,Apple Pay,13.99,2023-10-25,,0
SUB-001874,Standard,Europe,35-44,Google Pay,13.99,2024-01-16,,0
SUB-001875,Basic,Latin America,25-34,PayPal,7.99,2022-12-06,,0
SUB-001876,Standard,Latin America,55+,Debit Card,13.99,2022-01-17,,0
SUB-001877,Basic,Europe,18-24,Apple Pay,7.99,2023-08-28,,0
SUB-001878,Premium,Europe,35-44,Apple Pay,19.99,2024-04-10,,0
SUB-001879,Basic,Asia Pacific,18-24,Credit Card,7.99,2022-11-01,,0
SUB-001880,Premium,Europe,55+,Credit Card,19.99,2022-04-15,,0
SUB-001881,Basic,Latin America,18-24,Apple Pay,7.99,2022-10-08,,0
SUB-001882,Premium,Asia Pacific,45-54,Apple Pay,19.99,2023-05-29,,0
SUB-001883,Standard,North America,35-44,Debit Card,13.99,2023-12-23,,0
SUB-001884,Basic,North America,55+,Credit Card,7.99,2023-05-31,2025-03-07,1
SUB-001885,Basic,Middle East,25-34,Debit Card,7.99,2022-12-02,,0
SUB-001886,Basic,North America,45-54,Google Pay,7.99,2022-12-24,,0
SUB-001887,Standard,Europe,45-54,Debit Card,13.99,2024-08-06,,0
SUB-001888,Standard,Latin America,35-44,Apple Pay,13.99,2022-06-11,,0
SUB-001889,Premium,Asia Pacific,45-54,Google Pay,19.99,2023-04-10,,0
SUB-001890,Basic,Asia Pacific,45-54,PayPal,7.99,2024-10-16,,0
SUB-001891,Standard,Europe,55+,Google Pay,13.99,2024-08-01,,0
SUB-001892,Basic,North America,18-24,Debit Card,7.99,2024-01-13,,0
SUB-001893,Basic,North America,55+,Credit Card,7.99,2024-09-17,,0
SUB-001894,Standard,Latin America,25-34,PayPal,13.99,2024-02-23,,0
SUB-001895,Standard,Middle East,18-24,Apple Pay,13.99,2022-02-14,2023-03-08,1
SUB-001896,Premium,Europe,55+,Credit Card,19.99,2024-04-03,,0
SUB-001897,Basic,Middle East,45-54,PayPal,7.99,2023-05-02,,0
SUB-001898,Basic,Europe,45-54,Apple Pay,7.99,2023-08-19,,0
SUB-001899,Premium,North America,45-54,PayPal,19.99,2023-02-25,,0
SUB-001900,Standard,Latin America,55+,Apple Pay,13.99,2024-11-24,2026-04-05,1
SUB-001901,Basic,North America,45-54,Apple Pay,7.99,2024-07-27,,0
SUB-001902,Premium,Asia Pacific,25-34,PayPal,19.99,2024-06-08,,0
SUB-001903,Basic,Latin America,18-24,Google Pay,7.99,2022-11-03,,0
SUB-001904,Standard,Middle East,25-34,PayPal,13.99,2023-02-11,2024-12-18,1
SUB-001905,Standard,North America,55+,Credit Card,13.99,2024-04-20,,0
SUB-001906,Premium,Asia Pacific,55+,Google Pay,19.99,2022-03-15,,0
SUB-001907,Premium,Middle East,45-54,PayPal,19.99,2023-11-03,,0
SUB-001908,Basic,Latin America,55+,PayPal,7.99,2023-11-28,,0
SUB-001909,Standard,Asia Pacific,25-34,Apple Pay,13.99,2022-08-24,,0
SUB-001910,Basic,Latin America,18-24,Google Pay,7.99,2022-04-08,,0
SUB-001911,Basic,Latin America,55+,Apple Pay,7.99,2022-07-07,2024-01-29,1
SUB-001912,Basic,Latin America,55+,PayPal,7.99,2022-12-02,,0
SUB-001913,Basic,Europe,18-24,Credit Card,7.99,2023-01-21,,0
SUB-001914,Premium,Middle East,55+,Google Pay,19.99,2023-01-01,,0
SUB-001915,Basic,North America,35-44,Credit Card,7.99,2023-07-24,2025-01-18,1
SUB-001916,Premium,Middle East,55+,Credit Card,19.99,2024-09-25,,0
SUB-001917,Premium,North America,55+,PayPal,19.99,2023-06-14,,0
SUB-001918,Standard,Asia Pacific,18-24,Apple Pay,13.99,2023-05-21,,0
SUB-001919,Premium,Latin America,55+,Google Pay,19.99,2023-06-12,,0
SUB-001920,Premium,Latin America,25-34,Credit Card,19.99,2023-09-09,,0
SUB-001921,Premium,Middle East,55+,PayPal,19.99,2023-10-03,,0
SUB-001922,Standard,Europe,35-44,PayPal,13.99,2023-03-05,,0
SUB-001923,Premium,Middle East,35-44,PayPal,19.99,2022-05-20,,0
SUB-001924,Basic,North America,25-34,Credit Card,7.99,2022-10-26,2024-06-29,1
SUB-001925,Basic,North America,35-44,Google Pay,7.99,2022-04-12,,0
SUB-001926,Standard,Europe,35-44,Apple Pay,13.99,2023-09-14,,0
SUB-001927,Premium,Latin America,45-54,Apple Pay,19.99,2022-01-25,,0
SUB-001928,Basic,Asia Pacific,35-44,Credit Card,7.99,2023-07-14,,0
SUB-001929,Premium,Latin America,35-44,Credit Card,19.99,2024-08-04,,0
SUB-001930,Premium,Latin America,45-54,Google Pay,19.99,2023-08-07,,0
SUB-001931,Standard,Europe,25-34,Debit Card,13.99,2022-01-04,2022-10-16,1
SUB-001932,Standard,Europe,18-24,Google Pay,13.99,2023-02-11,,0
SUB-001933,Premium,North America,55+,Debit Card,19.99,2023-03-24,,0
SUB-001934,Premium,Europe,45-54,Apple Pay,19.99,2023-10-28,,0
SUB-001935,Premium,Latin America,35-44,PayPal,19.99,2023-07-28,,0
SUB-001936,Basic,Latin America,18-24,Google Pay,7.99,2022-03-24,,0
SUB-001937,Standard,Middle East,18-24,Apple Pay,13.99,2024-07-13,,0
SUB-001938,Standard,Middle East,18-24,Apple Pay,13.99,2024-02-11,,0
SUB-001939,Standard,Latin America,25-34,Credit Card,13.99,2022-06-08,,0
SUB-001940,Premium,Middle East,45-54,Debit Card,19.99,2022-10-23,,0
SUB-001941,Standard,Asia Pacific,45-54,Google Pay,13.99,2024-02-26,2025-01-04,1
SUB-001942,Basic,Asia Pacific,35-44,Credit Card,7.99,2022-04-20,,0
SUB-001943,Standard,Europe,35-44,Debit Card,13.99,2022-05-13,,0
SUB-001944,Premium,Asia Pacific,35-44,Apple Pay,19.99,2023-05-30,2024-05-28,1
SUB-001945,Standard,North America,55+,PayPal,13.99,2023-04-09,,0
SUB-001946,Basic,North America,55+,PayPal,7.99,2024-08-07,,0
SUB-001947,Premium,Middle East,25-34,Apple Pay,19.99,2023-03-27,,0
SUB-001948,Standard,North America,55+,Credit Card,13.99,2023-08-09,,0
SUB-001949,Basic,Middle East,25-34,Google Pay,7.99,2023-03-19,,0
SUB-001950,Standard,North America,35-44,Apple Pay,13.99,2024-09-17,,0
SUB-001951,Standard,Latin America,55+,Debit Card,13.99,2023-07-18,,0
SUB-001952,Standard,Latin America,55+,Google Pay,13.99,2023-09-21,,0
SUB-001953,Premium,Latin America,18-24,Debit Card,19.99,2024-11-04,,0
SUB-001954,Standard,Latin America,18-24,Debit Card,13.99,2023-03-05,,0
SUB-001955,Standard,Europe,35-44,PayPal,13.99,2024-07-01,,0
SUB-001956,Basic,Middle East,35-44,Credit Card,7.99,2022-01-17,,0
SUB-001957,Premium,Middle East,18-24,PayPal,19.99,2024-12-10,,0
SUB-001958,Premium,Asia Pacific,25-34,Apple Pay,19.99,2023-03-16,,0
SUB-001959,Basic,Asia Pacific,18-24,Debit Card,7.99,2024-12-17,,0
SUB-001960,Standard,Latin America,45-54,Google Pay,13.99,2024-10-14,,0
SUB-001961,Standard,Asia Pacific,25-34,Debit Card,13.99,2023-05-09,,0
SUB-001962,Premium,Asia Pacific,18-24,Apple Pay,19.99,2023-03-18,2023-09-26,1
SUB-001963,Standard,Europe,25-34,Credit Card,13.99,2022-01-07,,0
SUB-001964,Standard,North America,18-24,Apple Pay,13.99,2024-10-26,,0
SUB-001965,Premium,Latin America,18-24,Apple Pay,19.99,2024-12-14,,0
SUB-001966,Standard,Latin America,25-34,Debit Card,13.99,2023-03-06,,0
SUB-001967,Standard,Latin America,25-34,Apple Pay,13.99,2022-06-21,,0
SUB-001968,Basic,North America,18-24,PayPal,7.99,2024-10-11,,0
SUB-001969,Standard,Europe,25-34,Debit Card,13.99,2024-07-17,,0
SUB-001970,Standard,Europe,35-44,PayPal,13.99,2022-12-30,,0
SUB-001971,Standard,Asia Pacific,35-44,Apple Pay,13.99,2024-07-20,,0
SUB-001972,Premium,Asia Pacific,18-24,PayPal,19.99,2023-10-24,,0
SUB-001973,Basic,Latin America,35-44,Google Pay,7.99,2023-10-20,,0
SUB-001974,Standard,Middle East,18-24,Debit Card,13.99,2022-08-27,2024-01-15,1
SUB-001975,Premium,Europe,18-24,PayPal,19.99,2023-06-24,,0
SUB-001976,Standard,Latin America,25-34,PayPal,13.99,2022-07-22,,0
SUB-001977,Standard,Europe,55+,Apple Pay,13.99,2022-11-24,,0
SUB-001978,Standard,Latin America,18-24,PayPal,13.99,2023-03-16,,0
